actual_price,predicted_price
30760.0,35418.56
17859.167,20418.055
9549.0,8696.525
11850.0,12148.656
28248.0,30745.656
7799.0,7219.278
7788.0,7770.093
9258.0,7775.1206
10198.0,10447.6455
7775.0,7981.9097
13295.0,13550.566
8238.0,7977.759
18280.0,14549.647
9988.0,11027.392
40960.0,45392.457
6488.0,6359.7847
5151.0,5090.1294
12629.0,13998.594
8189.0,7840.969
9960.0,9648.879
8495.0,10685.957
13499.0,14710.465
8249.0,6703.4233
6479.0,5466.184
6692.0,7575.408
41315.0,34598.387
9639.0,8571.527
13415.0,16616.527
7999.0,7355.6924
12940.0,15133.797
25552.0,32693.646
6229.0,6513.461
7898.0,8362.013
21485.0,19105.916
7689.0,8030.2812
28176.0,32024.541
11259.0,9917.888
10945.0,11847.419
8916.5,7649.235
14489.0,14842.6045
7463.0,9257.495
