actual_price,predicted_price
30760.0,37051.9
17859.167,17917.1
9549.0,9002.4
11850.0,12525.95
28248.0,28229.5
7799.0,6507.25
7788.0,7720.75
9258.0,8035.85
10198.0,9171.25
7775.0,8094.85
13295.0,13154.6
8238.0,8020.2
18280.0,12926.35
9988.0,10751.35
40960.0,38984.3
6488.0,6276.75
5151.0,5797.4
12629.0,14577.6
8189.0,8802.5
9960.0,8918.7
8495.0,10237.85
13499.0,14723.3
8249.0,6473.3
6479.0,5725.65
6692.0,7276.9
41315.0,37066.7
9639.0,9245.3
13415.0,16437.0
7999.0,7347.3
12940.0,16523.1
25552.0,28273.5
6229.0,6397.7
7898.0,8178.45
21485.0,18372.7
7689.0,8336.55
28176.0,28294.975
11259.0,10116.6
10945.0,11960.7
8916.5,7815.3
14489.0,14788.1
7463.0,7897.35
